badflag,customer_data_quality_flag,last_payment_amount,current_payment_method_fdd,pay_12m_balance_ratio,total_days_in_collection,total_balance,debt_age_weeks,analysis_date,new_account_number
0,1,170,1,-4.794976,0,208.95,6,31/12/2021,1
1,1,189,0,,79,647.55,18,31/12/2021,2
0,1,0,0,-8.521898,0,159.19,0,31/12/2021,3
0,1,136,1,-7.081868,55,29.82,11,31/12/2021,4
0,1,88,1,-0.6034818,0,349.58,27,31/12/2021,5
0,1,0,0,-0.53270465,13,172.39,3,31/12/2021,6
0,1,0,0,-2.218143,80,120.74,20,31/12/2021,7
0,0,140,1,-2.9317293,0,163.72,0,31/12/2021,8
0,0,0,0,-3.6665514,17,134.55,4,31/12/2021,9
0,1,0,0,-16.512737,26,30.04,0,31/12/2021,10
1,1,0,0,,84,4564.36,104,31/12/2021,11
1,0,0,0,,84,1422.48,91,31/12/2021,12
1,0,0,0,,84,1723.15,86,31/12/2021,13
0,1,313,1,-25.57413,0,172.45,1,31/12/2021,14
1,0,0,0,,83,539.95,25,31/12/2021,15
0,1,0,0,-8.341847,30,179.88,5,31/12/2021,16
0,1,0,0,-2.1433358,48,157.09,5,31/12/2021,17
0,1,0,0,-1.6276352,5,120.92,2,31/12/2021,18
0,1,72,1,-10.101695,0,19.5,5,31/12/2021,19
1,0,138,0,,84,10478.22,93,31/12/2021,20
1,1,0,0,-0.698099,84,176.22,71,31/12/2021,21
0,1,176,1,-1.3850688,0,295.4,4,31/12/2021,22
0,1,0,0,,0,161.19,1,31/12/2021,23
0,1,229,1,-11.287013,0,92.33,2,31/12/2021,24
0,0,283,1,-6.884674,0,238.34,12,31/12/2021,25
1,0,0,0,,81,22.68,18,31/12/2021,26
0,1,0,0,-0.14472304,36,6063.67,7,31/12/2021,27
1,0,97,0,-0.033730038,62,1768.83,13,31/12/2021,28
0,1,130,1,-4.937112,0,126.91,0,31/12/2021,29
0,1,66,1,-3.5399773,0,104.69,4,31/12/2021,30
0,0,176,1,-8.883333,0,110,2,31/12/2021,31
0,1,0,0,-7.720517,7,41.81,1,31/12/2021,32
1,1,0,0,-0.79919857,55,464.15,9,31/12/2021,33
0,1,70,1,-6.314826,0,56.64,0,31/12/2021,34
1,1,0,0,,84,1645.18,74,31/12/2021,35
0,0,0,0,-1.2843971,18,73.51,1,31/12/2021,36
1,1,222,1,-0.68098885,84,2694.89,66,31/12/2021,37
0,1,0,0,-10.240383,0,169.38,2,31/12/2021,38
0,1,128,1,-3.3873036,84,372.31,20,31/12/2021,39
0,1,141,1,-7.8483753,0,128.5,2,31/12/2021,40
0,1,0,0,-2.3529658,5,37.71,2,31/12/2021,41
0,0,0,0,-2.7717206,36,66.31,5,31/12/2021,42
0,1,36,1,-15.644954,0,3.97,2,31/12/2021,43
0,1,129,1,-21.408148,0,45.96,8,31/12/2021,44
1,0,0,0,,84,246.12,33,31/12/2021,45
1,1,0,0,,84,2369.05,59,31/12/2021,46
0,1,82,1,-1.7062117,0,140.04,14,31/12/2021,47
0,0,0,0,-0.66294503,0,84.94,0,31/12/2021,48
0,1,0,0,-5.4372797,10,120.58,3,31/12/2021,49
1,1,0,0,,84,112.15,42,31/12/2021,50
1,1,0,0,,84,1345.62,90,31/12/2021,51
0,1,281,0,-0.2285215,10,2370.52,44,31/12/2021,52
0,1,0,0,-4.464286,15,41.52,2,31/12/2021,53
0,0,65,1,-6.835612,0,19.99,1,31/12/2021,54
0,1,0,0,-2.5239055,69,119.05,3,31/12/2021,55
0,1,0,0,-0.27944306,8,102.76,3,31/12/2021,56
1,1,69,0,,84,372.33,40,31/12/2021,57
0,1,0,0,-20.657995,0,3.07,0,31/12/2021,58
0,1,145,1,-7.6955295,0,85.51,0,31/12/2021,59
0,1,242,1,-6.8585353,0,255.72,1,31/12/2021,60
0,1,216,1,-171.41803,0,2.87,3,31/12/2021,61
0,1,139,1,-1.626295,0,252.56,16,31/12/2021,62
0,1,107,1,-2.7132027,43,123.23,8,31/12/2021,63
0,1,56,1,-0.8526998,0,395.77,10,31/12/2021,64
0,1,0,0,-23.70012,0,6.54,0,31/12/2021,65
0,1,84,1,-0.8037569,0,211.46,0,31/12/2021,66
0,0,0,0,-6.450841,0,5.46,0,31/12/2021,67
1,0,0,0,,84,8005.87,107,31/12/2021,68
1,0,0,0,,63,318.15,11,31/12/2021,69
1,0,0,0,,,42.97,7,31/12/2021,70
0,1,0,0,-2.9802,8,87.98,3,31/12/2021,71
0,1,122,1,-2.3903632,0,96.26,1,31/12/2021,72
0,1,70,1,-2.2022414,0,296.96,19,31/12/2021,73
1,1,0,0,,84,4166.23,108,31/12/2021,74
1,0,0,0,,84,154.03,37,31/12/2021,75
0,1,0,0,-8.616932,0,44.69,0,31/12/2021,76
1,0,0,0,,84,1609.8,72,31/12/2021,77
0,1,166,1,-11.079607,0,35.85,1,31/12/2021,78
0,1,0,0,-4.4912033,56,103.11,2,31/12/2021,79
0,1,63,1,-9.682365,0,35.65,5,31/12/2021,80
1,0,0,0,,84,1746.04,44,31/12/2021,81
0,1,170,1,-51.591404,0,19.32,1,31/12/2021,82
0,1,151,1,-5.5696015,0,262.91,2,31/12/2021,83
1,0,0,0,,,303.62,33,31/12/2021,84
0,0,72,1,-2.8766284,0,218.74,6,31/12/2021,85
0,0,15,1,-13.482281,0,2.98,6,31/12/2021,86
0,1,0,0,-0.5373795,84,875.78,39,31/12/2021,87
0,0,0,0,,0,238.28,1,31/12/2021,88
0,1,0,0,-2.161109,4,64.67,0,31/12/2021,89
0,1,183,1,-12.784042,0,72.47,6,31/12/2021,90
0,0,17,1,-10.357518,0,9.02,3,31/12/2021,91
0,1,139,1,-5.4774404,0,179.72,8,31/12/2021,92
1,0,0,0,,84,4052.96,107,31/12/2021,93
0,1,72,1,-3.1261914,0,16.23,1,31/12/2021,94
1,0,0,0,,83,90.03,32,31/12/2021,95
0,0,0,0,-0.11711352,81,466.29,17,31/12/2021,96
